"reference_date","target","horizon","location","target_end_date","output_type","output_type_id","value"
2025-03-22,"wk inc flu hosp",0,"09",2025-03-22,"quantile",0.95,159.278141736088
2025-03-22,"wk inc flu hosp",0,"09",2025-03-22,"quantile",0.975,187.958456425993
2025-03-22,"wk inc flu hosp",0,"09",2025-03-22,"quantile",0.99,232.376036672791
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.01,7.04433813670589
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.025,13.6038612410998
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.05,19.1082326920649
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.1,22.7814128397523
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.15,25.926474167334
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.2,28.2935569920403
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.25,29.1678448475303
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.3,31.2233107095518
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.35,31.620399648342
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.4,33.3424930545957
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.45,34.0624544843893
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.5,35.2083882942065
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.55,36.1077029353747
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.6,37.184986027143
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.65,38.3853944063607
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.7,39.4672724734636
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.75,40.7693852491622
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.8,42.371257934536
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.85,43.6708154067489
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.9,46.982852750414
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.95,52.3729709623757
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.975,62.9453900213411
2025-03-22,"wk inc flu hosp",0,"10",2025-03-22,"quantile",0.99,78.7882784988287
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.01,21.9621024872546
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.025,32.6981563196726
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.05,43.5834481058369
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.1,50.4014980282424
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.15,52.5139680534497
2025-03-22,"wk inc flu hosp",0,"11",2025-03-22,"quantile",0.2,56.8658835851186
