feat,importance,b,q_level
inc_trans_cs,150,0,0.01
season_week,223,0,0.01
log_pop,247,0,0.01
source_flusurvnet,72,0,0.01
source_ilinet,8,0,0.01
source_nhsn,8,0,0.01
agg_level_national,0,0,0.01
agg_level_state,0,0,0.01
location_01,9,0,0.01
location_02,2,0,0.01
location_04,2,0,0.01
location_05,4,0,0.01
location_06,0,0,0.01
location_08,2,0,0.01
location_09,24,0,0.01
location_10,13,0,0.01
location_11,9,0,0.01
location_12,0,0,0.01
location_13,8,0,0.01
location_15,1,0,0.01
location_16,14,0,0.01
location_17,2,0,0.01
location_18,4,0,0.01
location_19,23,0,0.01
location_20,0,0,0.01
location_21,0,0,0.01
location_22,7,0,0.01
location_23,1,0,0.01
location_24,4,0,0.01
location_25,1,0,0.01
location_26,14,0,0.01
location_27,5,0,0.01
location_28,4,0,0.01
location_29,19,0,0.01
location_30,6,0,0.01
location_31,15,0,0.01
location_32,2,0,0.01
location_33,17,0,0.01
location_34,4,0,0.01
location_35,1,0,0.01
location_36,11,0,0.01
location_37,9,0,0.01
location_38,14,0,0.01
location_39,8,0,0.01
location_40,1,0,0.01
location_41,3,0,0.01
location_42,4,0,0.01
location_44,3,0,0.01
location_45,9,0,0.01
location_46,10,0,0.01
location_47,2,0,0.01
location_48,5,0,0.01
location_49,4,0,0.01
location_50,0,0,0.01
location_51,0,0,0.01
location_53,19,0,0.01
location_54,2,0,0.01
location_55,3,0,0.01
location_56,0,0,0.01
location_72,13,0,0.01
location_US,0,0,0.01
delta_xmas,160,0,0.01
inc_trans_cs_taylor_d2_c0_w4t_sNone,46,0,0.01
inc_trans_cs_taylor_d2_c1_w4t_sNone,84,0,0.01
inc_trans_cs_taylor_d2_c2_w4t_sNone,66,0,0.01
inc_trans_cs_taylor_d2_c0_w6t_sNone,38,0,0.01
inc_trans_cs_taylor_d2_c1_w6t_sNone,65,0,0.01
inc_trans_cs_taylor_d2_c2_w6t_sNone,71,0,0.01
inc_trans_cs_taylor_d1_c0_w3t_sNone,26,0,0.01
inc_trans_cs_taylor_d1_c1_w3t_sNone,57,0,0.01
inc_trans_cs_taylor_d1_c0_w5t_sNone,43,0,0.01
inc_trans_cs_taylor_d1_c1_w5t_sNone,76,0,0.01
inc_trans_cs_rollmean_w2,43,0,0.01
inc_trans_cs_rollmean_w4,36,0,0.01
inc_trans_cs_lag1,47,0,0.01
inc_trans_cs_lag2,47,0,0.01
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,26,0,0.01
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,16,0,0.01
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,48,0,0.01
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,41,0,0.01
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,41,0,0.01
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,54,0,0.01
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,12,0,0.01
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,19,0,0.01
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,44,0,0.01
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,68,0,0.01
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,56,0,0.01
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag2,71,0,0.01
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag1,19,0,0.01
inc_trans_cs_taylor_d1_c0_w3t_sNone_lag2,9,0,0.01
