feat,importance,b,q_level
inc_trans_cs,130,0,0.01
season_week,275,0,0.01
log_pop,254,0,0.01
source_flusurvnet,60,0,0.01
source_ilinet,23,0,0.01
source_nhsn,22,0,0.01
agg_level_national,0,0,0.01
agg_level_state,0,0,0.01
location_01,3,0,0.01
location_02,1,0,0.01
location_04,1,0,0.01
location_05,2,0,0.01
location_06,5,0,0.01
location_08,2,0,0.01
location_09,23,0,0.01
location_10,9,0,0.01
location_11,2,0,0.01
location_12,1,0,0.01
location_13,12,0,0.01
location_15,7,0,0.01
location_16,22,0,0.01
location_17,1,0,0.01
location_18,0,0,0.01
location_19,24,0,0.01
location_20,0,0,0.01
location_21,1,0,0.01
location_22,10,0,0.01
location_23,1,0,0.01
location_24,7,0,0.01
location_25,2,0,0.01
location_26,3,0,0.01
location_27,10,0,0.01
location_28,4,0,0.01
location_29,17,0,0.01
location_30,16,0,0.01
location_31,9,0,0.01
location_32,4,0,0.01
location_33,7,0,0.01
location_34,6,0,0.01
location_35,1,0,0.01
location_36,9,0,0.01
location_37,7,0,0.01
location_38,13,0,0.01
location_39,3,0,0.01
location_40,1,0,0.01
location_41,10,0,0.01
location_42,7,0,0.01
location_44,2,0,0.01
location_45,5,0,0.01
location_46,10,0,0.01
location_47,1,0,0.01
location_48,1,0,0.01
location_49,9,0,0.01
location_50,4,0,0.01
location_51,3,0,0.01
location_53,10,0,0.01
location_54,0,0,0.01
location_55,4,0,0.01
location_56,0,0,0.01
location_72,3,0,0.01
location_US,0,0,0.01
delta_xmas,122,0,0.01
inc_trans_cs_taylor_d2_c0_w4t_sNone,59,0,0.01
inc_trans_cs_taylor_d2_c1_w4t_sNone,65,0,0.01
inc_trans_cs_taylor_d2_c2_w4t_sNone,57,0,0.01
inc_trans_cs_taylor_d2_c0_w6t_sNone,46,0,0.01
inc_trans_cs_taylor_d2_c1_w6t_sNone,63,0,0.01
inc_trans_cs_taylor_d2_c2_w6t_sNone,57,0,0.01
inc_trans_cs_taylor_d1_c0_w3t_sNone,37,0,0.01
inc_trans_cs_taylor_d1_c1_w3t_sNone,67,0,0.01
inc_trans_cs_taylor_d1_c0_w5t_sNone,33,0,0.01
inc_trans_cs_taylor_d1_c1_w5t_sNone,67,0,0.01
inc_trans_cs_rollmean_w2,34,0,0.01
inc_trans_cs_rollmean_w4,56,0,0.01
inc_trans_cs_lag1,34,0,0.01
inc_trans_cs_lag2,53,0,0.01
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag1,14,0,0.01
inc_trans_cs_taylor_d2_c0_w4t_sNone_lag2,23,0,0.01
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag1,44,0,0.01
inc_trans_cs_taylor_d2_c1_w4t_sNone_lag2,41,0,0.01
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag1,68,0,0.01
inc_trans_cs_taylor_d2_c2_w4t_sNone_lag2,68,0,0.01
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag1,15,0,0.01
inc_trans_cs_taylor_d2_c0_w6t_sNone_lag2,22,0,0.01
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag1,37,0,0.01
inc_trans_cs_taylor_d2_c1_w6t_sNone_lag2,46,0,0.01
inc_trans_cs_taylor_d2_c2_w6t_sNone_lag1,60,0,0.01
