location,state_name,region,abs_diff
42,Pennsylvania,Northeast,619.272961875148
36,New York,Northeast,543.5528121306932
39,Ohio,Midwest,315.0835651053834
37,North Carolina,South,211.3550382489566
26,Michigan,Midwest,187.05867324873083
06,California,West,170.26961877186773
17,Illinois,Midwest,158.33186771943258
48,Texas,South,154.34000634082145
34,New Jersey,Northeast,147.20070336557637
25,Massachusetts,Northeast,144.1524819364917
27,Minnesota,Midwest,140.70446709842548
12,Florida,South,120.43261101783503
55,Wisconsin,Midwest,104.67463678898767
51,Virginia,South,100.26435523056531
45,South Carolina,South,97.84927385668769
18,Indiana,Midwest,92.07694941722741
47,Tennessee,South,89.8800128486545
24,Maryland,South,66.77630092062151
29,Missouri,Midwest,64.5204020323647
13,Georgia,South,52.165997227632545
21,Kentucky,South,40.7348583190512
09,Connecticut,Northeast,38.184062206546855
08,Colorado,West,34.64966885806136
53,Washington,West,32.008444147808945
23,Maine,Northeast,29.391990186412023
05,Arkansas,South,29.264668946623075
33,New Hampshire,Northeast,23.78128828312957
01,Alabama,South,23.417762565429044
54,West Virginia,South,23.185002823566478
04,Arizona,West,22.74346119071258
11,DC,South,19.16122601525415
22,Louisiana,South,18.547864584910926
41,Oregon,West,18.155643995323132
19,Iowa,Midwest,15.395327226828229
28,Mississippi,South,13.868716848808546
44,Rhode Island,Northeast,13.842731840823149
31,Nebraska,Midwest,12.142653672857328
20,Kansas,Midwest,11.991905206466171
16,Idaho,West,10.86823633568001
10,Delaware,South,9.996241202641638
49,Utah,West,9.80737627287391
40,Oklahoma,South,9.773183845899467
50,Vermont,Northeast,9.704852665439496
38,North Dakota,Midwest,8.282924537294381
56,Wyoming,West,7.134582033551435
30,Montana,West,6.937969413341765
46,South Dakota,Midwest,6.8653933565923
35,New Mexico,West,6.6684403903868485
32,Nevada,West,6.572563519913075
72,Puerto Rico,South,6.30149207049352
15,Hawaii,West,3.4484952040075143
02,Alaska,West,1.0590870876939125
