,abs_diff,abs_diff,abs_diff,rel_diff
,mean,median,max,mean
horizon,,,,
0,43.61,14.8,399.11,0.04
1,74.59,21.37,625.03,0.08
2,97.11,32.73,704.31,0.12
3,100.37,35.02,748.64,0.15
