location,reference_date_base,horizon,target_end_date,target,output_type_base,output_type_id_base,value_base,reference_date_spatial,output_type_spatial,output_type_id_spatial,value_spatial,abs_diff,rel_diff,diff,state_name,region
01,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,592.4081017056233,2025-02-15,quantile,0.5,561.1707501404488,31.237351565174436,0.05264058828214415,-31.237351565174436,Alabama,South
02,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,25.570307681607883,2025-02-15,quantile,0.5,25.132539603352136,0.43776807825574693,0.016475837747214814,-0.43776807825574693,Alaska,West
04,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,436.3269372428608,2025-02-15,quantile,0.5,427.24991341891393,9.077023823946888,0.020755693397651705,-9.077023823946888,Arizona,West
05,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,438.086972273259,2025-02-15,quantile,0.5,432.31020024242093,5.77677203083806,0.013156327551533403,-5.77677203083806,Arkansas,South
06,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,2914.4488796282135,2025-02-15,quantile,0.5,2899.978704618308,14.470175009905688,0.004963275161851223,-14.470175009905688,California,West
08,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,492.7585539234867,2025-02-15,quantile,0.5,476.4693135996407,16.289240323846002,0.03299029494154383,-16.289240323846002,Colorado,West
09,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,480.41528905137534,2025-02-15,quantile,0.5,491.65992026990256,11.244631218527218,0.02335744517105941,11.244631218527218,Connecticut,Northeast
10,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,94.97623756799304,2025-02-15,quantile,0.5,101.18174200225046,6.205504434257421,0.0646566753553057,6.205504434257421,Delaware,South
11,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,183.88489171134808,2025-02-15,quantile,0.5,199.018568989122,15.133677277773927,0.08185459145791865,15.133677277773927,DC,South
12,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,2668.5212676224533,2025-02-15,quantile,0.5,2637.5982976484297,30.922969974023545,0.011583713660226563,-30.922969974023545,Florida,South
13,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,1101.1888162748296,2025-02-15,quantile,0.5,1057.7251625583208,43.463653716508816,0.039433945504371,-43.463653716508816,Georgia,South
15,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,79.82568307672432,2025-02-15,quantile,0.5,75.86840136302136,3.9572817137029546,0.04896069619289797,-3.9572817137029546,Hawaii,West
16,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,101.73802462297216,2025-02-15,quantile,0.5,103.44433482296412,1.706310199991961,0.016608360986633482,1.706310199991961,Idaho,West
17,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,1869.2869263443356,2025-02-15,quantile,0.5,1942.148064226105,72.86113788176931,0.03895719787989095,72.86113788176931,Illinois,Midwest
18,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,1432.2170537712643,2025-02-15,quantile,0.5,1444.2687635645404,12.051709793276132,0.008408851793637349,12.051709793276132,Indiana,Midwest
19,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,514.6563190258648,2025-02-15,quantile,0.5,485.0384044932516,29.617914532613213,0.0574373152035932,-29.617914532613213,Iowa,Midwest
20,2025-02-15,0,2025-02-15,wk inc flu hosp,quantile,0.5,360.6410676943767,2025-02-15,quantile,0.5,343.44603496249425,17.195032731882463,0.04754723472505065,-17.195032731882463,Kansas,Midwest
