category,base,spatial,diff
data_source,306840.0,241989,-64851.0
level,0.0,0,0.0
other,4275079.0,2717067,-1558012.0
spatial_velocity,0.0,628584,628584.0
spatial_wave_E,0.0,225902,225902.0
spatial_wave_N,0.0,610557,610557.0
spatial_wave_S,0.0,431200,431200.0
spatial_wave_SE,0.0,188752,188752.0
spatial_wave_W,0.0,276465,276465.0
spatial_wave_other,0.0,376129,376129.0
temporal_lag,2318081.0,1203355,-1114726.0
