feat,importance,b,q_level
inc_trans_cs,97,0,0.01
season_week,110,0,0.01
log_pop,122,0,0.01
inc_trans_cs_wave_N,39,0,0.01
inc_trans_cs_wave_NE,49,0,0.01
inc_trans_cs_wave_E,50,0,0.01
inc_trans_cs_wave_SE,55,0,0.01
inc_trans_cs_wave_S,33,0,0.01
inc_trans_cs_wave_SW,74,0,0.01
inc_trans_cs_wave_W,53,0,0.01
inc_trans_cs_wave_NW,36,0,0.01
inc_trans_cs_wave_avg,30,0,0.01
inc_trans_cs_wave_N_lag1,34,0,0.01
inc_trans_cs_wave_N_lag2,27,0,0.01
inc_trans_cs_wave_NE_lag1,32,0,0.01
inc_trans_cs_wave_NE_lag2,51,0,0.01
inc_trans_cs_wave_E_lag1,33,0,0.01
inc_trans_cs_wave_E_lag2,40,0,0.01
inc_trans_cs_wave_SE_lag1,32,0,0.01
inc_trans_cs_wave_SE_lag2,26,0,0.01
inc_trans_cs_wave_S_lag1,27,0,0.01
inc_trans_cs_wave_S_lag2,26,0,0.01
inc_trans_cs_wave_SW_lag1,34,0,0.01
inc_trans_cs_wave_SW_lag2,26,0,0.01
inc_trans_cs_wave_W_lag1,26,0,0.01
inc_trans_cs_wave_W_lag2,35,0,0.01
inc_trans_cs_wave_NW_lag1,23,0,0.01
inc_trans_cs_wave_NW_lag2,20,0,0.01
inc_trans_cs_wave_avg_lag1,31,0,0.01
inc_trans_cs_wave_avg_lag2,25,0,0.01
inc_trans_cs_wave_N_velocity,31,0,0.01
inc_trans_cs_wave_NE_velocity,45,0,0.01
inc_trans_cs_wave_E_velocity,49,0,0.01
inc_trans_cs_wave_SE_velocity,16,0,0.01
inc_trans_cs_wave_S_velocity,25,0,0.01
inc_trans_cs_wave_SW_velocity,40,0,0.01
inc_trans_cs_wave_W_velocity,40,0,0.01
inc_trans_cs_wave_NW_velocity,35,0,0.01
inc_trans_cs_wave_avg_velocity,19,0,0.01
source_flusurvnet,48,0,0.01
source_ilinet,29,0,0.01
source_nhsn,16,0,0.01
agg_level_state,0,0,0.01
location_01,0,0,0.01
location_02,1,0,0.01
location_04,2,0,0.01
location_05,3,0,0.01
location_06,0,0,0.01
location_08,0,0,0.01
location_09,20,0,0.01
location_10,9,0,0.01
location_11,1,0,0.01
location_12,0,0,0.01
location_13,7,0,0.01
