location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
02,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.9162187577018158
04,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,2.821630011650639
05,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
06,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,29.556159057658935
08,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
09,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.9162606330187093
10,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
11,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
12,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,31.43573711036145
13,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
15,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,2.107302376948052
16,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
17,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,2.0824716808475583
18,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,2.1392821257478176
19,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
20,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
21,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,5.776426565612567
22,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,9.8091026696275
23,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,4.8754996210935575
24,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,8.639510235335196
25,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,2.5312564352231948
26,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,29.37963737523118
27,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
28,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,3.2737245240671875
29,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,1.6396561382515942
30,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,2.111022919821674
31,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
32,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,4.963240237802536
33,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
34,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,17.383422619520843
35,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
36,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,40.30870415681329
37,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
38,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,1.053229110647534
39,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,3.2824843959300507
40,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
41,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
42,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,66.14944589924661
44,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.5605672000123876
45,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
46,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,0.0
47,2025-04-19,0,2025-04-19,wk inc flu hosp,quantile,0.01,4.690464229536768
