reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.01,726.7257080078125
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.025,838.5296630859375
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.05,950.3336181640624
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.1,1062.1375732421875
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.15,1165.556213378906
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.2,1173.9415283203125
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.25,1229.8433837890625
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.3,1285.7454833984375
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.35,1285.7454833984375
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.4,1375.188598632813
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.45,1397.5494384765625
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.5,1397.5494384765625
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.55,1453.4512939453125
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.6,1509.3533935546875
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.65,1509.3533935546875
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.7,1565.2552490234375
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.75,1579.2307739257812
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.8,1621.1573486328125
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.85,1732.961181640625
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.9,1788.8631591796875
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.95,1900.6671142578125
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.975,1957.9667602539064
2025-05-17,wk inc flu hosp,-1,US,2025-05-10,quantile,0.99,2125.3929418945304
