"location","reference_date","horizon","target","target_end_date","output_type","output_type_id","value"
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.01",152.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.025",156
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.05",161.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.1",174
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.15",186
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.2",201.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.25",220
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.3",234.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.35",240
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.4",244.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.45",255.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.5",272.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.55",286
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.6",300
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.65",305
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.7",310.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.75",315.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.8",321
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.85",335.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.9",350.5
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.95",366
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.975",373
"01","2025-03-15",0,"wk inc flu hosp","2025-03-15","quantile","0.99",378
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.01",62.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.025",79.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.05",100
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.1",123.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.15",145
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.2",161
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.25",180.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.3",196.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.35",210.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.4",226.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.45",243.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.5",255.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.55",262.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.6",272.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.65",284.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.7",298
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.75",312
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.8",326.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.85",339.5
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.9",362
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.95",389
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.975",406
"01","2025-03-15",1,"wk inc flu hosp","2025-03-22","quantile","0.99",429
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.01",23.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.025",35.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.05",52.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.1",82.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.15",104
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.2",129.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.25",150.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.3",168.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.35",187
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.4",206.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.45",222
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.5",240
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.55",252
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.6",265
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.65",275.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.7",289
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.75",304.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.8",321
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.85",340
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.9",362
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.95",398.5
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.975",425
"01","2025-03-15",2,"wk inc flu hosp","2025-03-29","quantile","0.99",456.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.01",0
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.025",17.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.05",32.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.1",45
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.15",70.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.2",98.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.25",125
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.3",145.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.35",166.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.4",185
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.45",204.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.5",225.5
"01","2025-03-15",3,"wk inc flu hosp","2025-04-05","quantile","0.55",238.5
