"location","reference_date","horizon","target","target_end_date","output_type","output_type_id","value"
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.01",250.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.025",255.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.05",263.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.1",279.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.15",293.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.2",296
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.25",298
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.3",300
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.35",301
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.4",302.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.45",309
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.5",316
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.55",325.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.6",332
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.65",337
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.7",346
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.75",355.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.8",367.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.85",387.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.9",405.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.95",425.5
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.975",438
"01","2024-01-06",0,"wk inc flu hosp","2024-01-06","quantile","0.99",445.5
"01","2024-01-06",1,"wk inc flu hosp","2024-01-13","quantile","0.01",237.5
