category,base,spatial,diff
data_source,303945.0,239388,-64557.0
level,0.0,0,0.0
other,4260237.0,2670112,-1590125.0
spatial_velocity,0.0,638614,638614.0
spatial_wave_E,0.0,231103,231103.0
spatial_wave_N,0.0,615185,615185.0
spatial_wave_S,0.0,440734,440734.0
spatial_wave_SE,0.0,193793,193793.0
spatial_wave_W,0.0,278153,278153.0
spatial_wave_other,0.0,375181,375181.0
temporal_lag,2335818.0,1217737,-1118081.0
