location,reference_date_base,horizon,target_end_date,target,output_type_base,output_type_id_base,value_base,reference_date_spatial,output_type_spatial,output_type_id_spatial,value_spatial,abs_diff,rel_diff,diff,state_name,region
01,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,240.8100374520251,2024-12-21,quantile,0.5,253.57138032989647,12.761342877871357,0.052774247968937996,12.761342877871357,Alabama,South
02,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,29.495560479713777,2024-12-21,quantile,0.5,23.82131593914333,5.674244540570449,0.1860678882863971,-5.674244540570449,Alaska,West
04,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,896.6418909549765,2024-12-21,quantile,0.5,988.2713201393232,91.62942918434669,0.10207793342494818,91.62942918434669,Arizona,West
05,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,50.58614163099814,2024-12-21,quantile,0.5,71.34756680954862,20.761425178550482,0.40246129138828496,20.761425178550482,Arkansas,South
06,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,1585.958147648998,2024-12-21,quantile,0.5,1648.153884922309,62.195737273311124,0.039191794292402174,62.195737273311124,California,West
08,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,178.94039667572562,2024-12-21,quantile,0.5,191.65265022304692,12.712253547321296,0.07064702413783336,12.712253547321296,Colorado,West
09,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,34.96978451758291,2024-12-21,quantile,0.5,49.13556654318496,14.165782025602049,0.39382448951501137,14.165782025602049,Connecticut,Northeast
10,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,21.69220314911483,2024-12-21,quantile,0.5,23.04890797170127,1.3567048225864369,0.05978726762100923,1.3567048225864369,Delaware,South
11,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,7.437836820037739,2024-12-21,quantile,0.5,10.191793475450982,2.7539566554132433,0.32638183389293446,2.7539566554132433,DC,South
12,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,1058.687981205861,2024-12-21,quantile,0.5,1097.660790412734,38.97280920687308,0.036777626903463013,38.97280920687308,Florida,South
13,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,266.95287087715917,2024-12-21,quantile,0.5,298.30977385253993,31.356902975380763,0.11702394855010187,31.356902975380763,Georgia,South
15,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,36.967472711726955,2024-12-21,quantile,0.5,30.59830174178046,6.369170969946495,0.16775335609787004,-6.369170969946495,Hawaii,West
16,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,111.84499139801385,2024-12-21,quantile,0.5,121.83909015741897,9.99409875940512,0.08856484134200593,9.99409875940512,Idaho,West
17,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,306.53649196147336,2024-12-21,quantile,0.5,324.3295338849934,17.793041923520036,0.057856684941795654,17.793041923520036,Illinois,Midwest
18,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,197.2368193306568,2024-12-21,quantile,0.5,225.1838638850094,27.9470445543526,0.14097807182699618,27.9470445543526,Indiana,Midwest
19,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,33.13965060078906,2024-12-21,quantile,0.5,45.23341453733441,12.09376393654535,0.3542439282101449,12.09376393654535,Iowa,Midwest
20,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,108.59256184093202,2024-12-21,quantile,0.5,116.9427826297366,8.350220788804577,0.07619331685050391,8.350220788804577,Kansas,Midwest
21,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,109.25584261079868,2024-12-21,quantile,0.5,124.92011400392482,15.664271393126143,0.1420720301274261,15.664271393126143,Kentucky,South
22,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,294.5445075334807,2024-12-21,quantile,0.5,298.3706454627616,3.8261379292808897,0.012946063390629738,3.8261379292808897,Louisiana,South
23,2024-12-21,0,2024-12-21,wk inc flu hosp,quantile,0.5,5.086466917047402,2024-12-21,quantile,0.5,8.122232380268576,3.035765463221174,0.498773016364944,3.035765463221174,Maine,Northeast
