location,state_name,region,abs_diff
06,California,West,211.74327122882005
48,Texas,South,206.14283006132604
04,Arizona,West,167.89031929676625
42,Pennsylvania,Northeast,167.1725987029528
36,New York,Northeast,151.80365137100816
12,Florida,South,148.6727290220756
39,Ohio,Midwest,112.25373576098
18,Indiana,Midwest,88.44964926313511
13,Georgia,South,86.49493214755354
47,Tennessee,South,84.33322116933469
26,Michigan,Midwest,81.64249731367192
51,Virginia,South,77.77159635068122
34,New Jersey,Northeast,76.37563944100776
37,North Carolina,South,72.58215946307068
17,Illinois,Midwest,71.03867727681924
25,Massachusetts,Northeast,60.88351060321845
29,Missouri,Midwest,57.21795409312753
45,South Carolina,South,55.00093566219725
53,Washington,West,53.48109921149348
55,Wisconsin,Midwest,52.14403227292263
40,Oklahoma,South,48.20321665601216
05,Arkansas,South,47.075593938704884
21,Kentucky,South,46.45858337068904
41,Oregon,West,43.57718620893333
22,Louisiana,South,40.516779254086
08,Colorado,West,35.978159362624496
01,Alabama,South,35.363118452433355
09,Connecticut,Northeast,32.40003070427328
24,Maryland,South,32.28864168582464
19,Iowa,Midwest,31.291978193955806
28,Mississippi,South,30.216002665041096
54,West Virginia,South,27.38059344162168
35,New Mexico,West,26.069798537798974
20,Kansas,Midwest,24.616167686841447
16,Idaho,West,24.365434918447647
72,Puerto Rico,South,21.311226140872485
27,Minnesota,Midwest,19.439836532646233
32,Nevada,West,16.393050470174614
56,Wyoming,West,15.987352441055538
49,Utah,West,14.93426820984531
31,Nebraska,Midwest,13.753986593403896
30,Montana,West,12.085747806892265
46,South Dakota,Midwest,11.20733230005549
33,New Hampshire,Northeast,10.137326511093182
23,Maine,Northeast,7.922568626467422
15,Hawaii,West,7.645500619637295
02,Alaska,West,7.386629169357938
50,Vermont,Northeast,7.101350995312349
10,Delaware,South,6.090836910276819
11,DC,South,6.038699424439573
44,Rhode Island,Northeast,5.905215238597593
38,North Dakota,Midwest,3.938945315863589
