,abs_diff,abs_diff,abs_diff,rel_diff
,mean,median,max,mean
horizon,,,,
0,18.71,12.74,91.63,0.17
1,52.26,37.33,234.43,0.35
2,68.06,46.33,269.4,0.4
3,76.06,51.47,282.9,0.42
