feat,importance,b,q_level
inc_trans_cs,95,0,0.01
season_week,133,0,0.01
log_pop,107,0,0.01
inc_trans_cs_wave_N,43,0,0.01
inc_trans_cs_wave_NE,59,0,0.01
inc_trans_cs_wave_E,52,0,0.01
inc_trans_cs_wave_SE,39,0,0.01
inc_trans_cs_wave_S,28,0,0.01
inc_trans_cs_wave_SW,53,0,0.01
inc_trans_cs_wave_W,53,0,0.01
inc_trans_cs_wave_NW,39,0,0.01
inc_trans_cs_wave_avg,28,0,0.01
inc_trans_cs_wave_N_lag1,21,0,0.01
inc_trans_cs_wave_N_lag2,30,0,0.01
inc_trans_cs_wave_NE_lag1,26,0,0.01
inc_trans_cs_wave_NE_lag2,56,0,0.01
inc_trans_cs_wave_E_lag1,50,0,0.01
inc_trans_cs_wave_E_lag2,44,0,0.01
inc_trans_cs_wave_SE_lag1,17,0,0.01
inc_trans_cs_wave_SE_lag2,31,0,0.01
inc_trans_cs_wave_S_lag1,25,0,0.01
inc_trans_cs_wave_S_lag2,28,0,0.01
inc_trans_cs_wave_SW_lag1,26,0,0.01
inc_trans_cs_wave_SW_lag2,24,0,0.01
inc_trans_cs_wave_W_lag1,28,0,0.01
inc_trans_cs_wave_W_lag2,46,0,0.01
inc_trans_cs_wave_NW_lag1,40,0,0.01
inc_trans_cs_wave_NW_lag2,25,0,0.01
inc_trans_cs_wave_avg_lag1,33,0,0.01
inc_trans_cs_wave_avg_lag2,27,0,0.01
inc_trans_cs_wave_N_velocity,20,0,0.01
inc_trans_cs_wave_NE_velocity,43,0,0.01
inc_trans_cs_wave_E_velocity,36,0,0.01
inc_trans_cs_wave_SE_velocity,28,0,0.01
inc_trans_cs_wave_S_velocity,24,0,0.01
inc_trans_cs_wave_SW_velocity,16,0,0.01
inc_trans_cs_wave_W_velocity,49,0,0.01
inc_trans_cs_wave_NW_velocity,25,0,0.01
inc_trans_cs_wave_avg_velocity,43,0,0.01
source_flusurvnet,35,0,0.01
source_ilinet,18,0,0.01
source_nhsn,16,0,0.01
agg_level_state,0,0,0.01
location_01,0,0,0.01
location_02,0,0,0.01
location_04,0,0,0.01
location_05,1,0,0.01
location_06,0,0,0.01
location_08,0,0,0.01
location_09,19,0,0.01
location_10,10,0,0.01
location_11,0,0,0.01
location_12,0,0,0.01
location_13,10,0,0.01
location_15,1,0,0.01
location_16,4,0,0.01
location_17,3,0,0.01
location_18,0,0,0.01
location_19,22,0,0.01
location_20,1,0,0.01
location_21,0,0,0.01
location_22,0,0,0.01
location_23,0,0,0.01
location_24,1,0,0.01
location_25,0,0,0.01
